No,x,y,number,amount,x_num,y_num
1,128.6017131,35.86844002,197,3343,128.6017131,35.86844002
2,128.6018555,35.87142631,257,4400,128.6018555,35.87142631
3,128.5807711,35.86890633,353,3815,128.5807711,35.86890633
4,128.6061586,35.8693267,0,0,128.6061586,35.8693267
5,128.5763395,35.8655529,0,0,128.5763395,35.8655529
6,128.5855595,35.85991179,0,0,128.5855595,35.85991179
7,128.5895594,35.86408255,0,0,128.5895594,35.86408255
8,128.5993683,35.85876412,0,0,128.5993683,35.85876412
9,128.6091281,35.86790523,48,1531,128.6091281,35.86790523
10,128.5805722,35.8582235,17,235,128.5805722,35.8582235
11,128.6089427,35.86552799,0,0,128.6089427,35.86552799
12,128.6018555,35.87142631,0,0,128.6018555,35.87142631
13,128.7252083,35.97014201,43,539,128.7252083,35.97014201
14,128.7260827,35.97058955,49,1119,128.7260827,35.97058955
15,128.6360766,35.88681372,215,4481,128.6360766,35.88681372
16,128.629195,35.87703362,194,3458,128.629195,35.87703362
17,128.6928376,35.85992562,173,3813,128.6928376,35.85992562
18,128.7361271,35.87864028,137,3314,128.7361271,35.87864028
19,128.6814003,35.86863045,187,2725,128.6814003,35.86863045
20,128.6402955,35.9191,137,2982,128.6402955,35.9191
21,128.7021116,35.87261017,38,869,128.7021116,35.87261017
22,128.6371583,35.99090071,89,1693,128.6371583,35.99090071
23,128.6501302,35.90997716,0,0,128.6501302,35.90997716
24,128.7112177,35.87027633,0,0,128.7112177,35.87027633
25,128.7016306,35.87043122,0,0,128.7016306,35.87043122
26,128.6716753,35.88208456,111,2335,128.6716753,35.88208456
27,128.6496353,35.88993705,0,0,128.6496353,35.88993705
28,128.6652561,35.88003395,0,0,128.6652561,35.88003395
29,128.6449371,35.88162786,0,0,128.6449371,35.88162786
30,128.6498559,35.87900153,96,2270,128.6498559,35.87900153
31,128.6127016,35.87997896,0,0,128.6127016,35.87997896
32,128.6146226,35.8809946,0,0,128.6146226,35.8809946
33,128.6410127,35.89610929,26,213,128.6410127,35.89610929
34,128.6248046,35.87325113,109,2653,128.6248046,35.87325113
35,128.6249677,35.8710745,244,4710,128.6249677,35.8710745
36,128.622617,35.88768408,131,2801,128.622617,35.88768408
37,128.6519363,35.87956399,251,5617,128.6519363,35.87956399
38,128.6392894,35.91038821,5,109,128.6392894,35.91038821
39,128.6382828,35.8933933,0,0,128.6382828,35.8933933
40,128.6412399,35.87815834,0,0,128.6412399,35.87815834
41,128.6441612,35.93998708,0,0,128.6441612,35.93998708
42,128.6163403,35.88428962,0,0,128.6163403,35.88428962
43,128.5400736,35.85969545,115,6341,128.5400736,35.85969545
44,128.5409867,35.87341174,129,1555,128.5409867,35.87341174
45,128.5592895,35.87232195,212,3566,128.5592895,35.87232195
46,128.5316981,35.88497189,147,3231,128.5316981,35.88497189
47,128.5427216,35.88407908,85,1635,128.5427216,35.88407908
48,128.5461515,35.86698037,166,4099,128.5461515,35.86698037
49,128.5447467,35.86851172,39,1303,128.5447467,35.86851172
50,128.5689707,35.88117185,21,540,128.5689707,35.88117185
51,128.5613,35.87595554,23,646,128.5613,35.87595554
52,128.5632615,35.8755956,5,53,128.5632615,35.8755956
53,128.5743028,35.86974988,3,53,128.5743028,35.86974988
54,128.5745339,35.86727753,30,1102,128.5745339,35.86727753
55,128.5518431,35.85902049,0,0,128.5518431,35.85902049
56,128.5339748,35.86309633,0,0,128.5339748,35.86309633
57,128.5535552,35.88795925,0,0,128.5535552,35.88795925
58,128.5837349,35.8322445,336,5589,128.5837349,35.8322445
59,128.5790577,35.85230256,0,0,128.5790577,35.85230256
60,128.5863225,35.85515365,0,0,128.5863225,35.85515365
61,128.5978346,35.84552398,0,0,128.5978346,35.84552398
62,128.5959412,35.84241851,0,0,128.5959412,35.84241851
63,128.5878028,35.84323175,125,3200,128.5878028,35.84323175
64,128.5695084,35.84597103,0,0,128.5695084,35.84597103
65,128.5606365,35.83624168,0,0,128.5606365,35.83624168
66,128.5994185,35.85368218,15,349,128.5994185,35.85368218
67,128.6011109,35.84382728,27,631,128.6011109,35.84382728
68,128.5790238,35.8372365,45,830,128.5790238,35.8372365
69,128.5425318,35.9021357,268,5685,128.5425318,35.9021357
70,128.5427922,35.91387816,110,3553,128.5427922,35.91387816
71,128.5833045,35.88545422,302,7426,128.5833045,35.88545422
72,128.5970876,35.89115552,395,9693,128.5970876,35.89115552
73,128.6119922,35.90549122,27,759,128.6119922,35.90549122
74,128.6117412,35.90617925,105,2043,128.6117412,35.90617925
75,128.5446932,35.94104958,79,2106,128.5446932,35.94104958
76,128.6175054,35.89318837,74,1880,128.6175054,35.89318837
77,128.5494828,35.9216739,314,7163,128.5494828,35.9216739
78,128.566041,35.93893254,217,5032,128.566041,35.93893254
79,128.5393414,35.93450683,133,2943,128.5393414,35.93450683
80,128.5434037,35.92413288,0,0,128.5434037,35.92413288
81,128.5979483,35.92799875,99,2742,128.5979483,35.92799875
82,128.5970445,35.9213512,0,0,128.5970445,35.9213512
83,128.5769348,35.90205856,71,1367,128.5769348,35.90205856
84,128.6030172,35.89290315,172,3521,128.6030172,35.89290315
85,128.5715294,35.89440759,0,0,128.5715294,35.89440759
86,128.5904541,35.88946123,0,0,128.5904541,35.88946123
87,128.5868909,35.88562917,0,0,128.5868909,35.88562917
88,128.5882181,35.88445306,53,1148,128.5882181,35.88445306
89,128.5835145,35.88185509,0,0,128.5835145,35.88185509
90,128.524326,35.91130567,10,297,128.524326,35.91130567
91,128.5175555,35.8954766,199,5840,128.5175555,35.8954766
92,128.6070181,35.90720333,0,0,128.6070181,35.90720333
93,128.563765,35.93129033,0,0,128.563765,35.93129033
94,128.6057727,35.88110679,0,0,128.6057727,35.88110679
95,128.5797145,35.90245507,0,0,128.5797145,35.90245507
96,128.5581816,35.93732745,57,1825,128.5581816,35.93732745
97,128.5473269,35.94425419,43,1191,128.5473269,35.94425419
98,128.6272161,35.9134626,11,401,128.6272161,35.9134626
99,128.6092565,35.90173502,15,474,128.6092565,35.90173502
100,128.6254885,35.89536208,36,1153,128.6254885,35.89536208
101,128.5487627,35.92149203,0,0,128.5487627,35.92149203
102,128.5971032,35.90051355,0,0,128.5971032,35.90051355
103,128.6000193,35.87922469,0,0,128.6000193,35.87922469
104,128.624544,35.82838917,67,2137,128.624544,35.82838917
105,128.6300208,35.85835349,223,3.715,128.6300208,35.85835349
106,128.6213958,35.85993244,53,1717,128.6213958,35.85993244
107,128.6501243,35.85594966,74,2372,128.6501243,35.85594966
108,128.7060374,35.84135706,46,1594,128.7060374,35.84135706
109,128.6270136,35.84767227,65,1330,128.6270136,35.84767227
110,128.6743403,35.82702862,22,221,128.6743403,35.82702862
111,128.639751,35.86663137,229,3979,128.639751,35.86663137
112,128.6221493,35.81146986,253,6018,128.6221493,35.81146986
113,128.6205773,35.82937438,201,4190,128.6205773,35.82937438
114,128.639751,35.86663137,0,0,128.639751,35.86663137
115,128.6381409,35.84397692,0,0,128.6381409,35.84397692
116,128.6098758,35.82598913,162,4134,128.6098758,35.82598913
117,128.6376097,35.8209278,83,1693,128.6376097,35.8209278
118,128.6939786,35.83460957,0,0,128.6939786,35.83460957
119,128.6586517,35.85793869,55,1004,128.6586517,35.85793869
120,128.7061657,35.84013416,101,2064,128.7061657,35.84013416
121,128.6282745,35.82928315,152,3908,128.6282745,35.82928315
122,128.6850322,35.83782917,0,0,128.6850322,35.83782917
123,128.6149475,35.85931475,0,0,128.6149475,35.85931475
124,128.623415,35.84611814,0,0,128.623415,35.84611814
125,128.6824493,35.835319,0,0,128.6824493,35.835319
126,128.647228,35.85986045,15,233,128.647228,35.85986045
127,128.6505651,35.85550223,51,787,128.6505651,35.85550223
128,128.6150885,35.8473452,56,831,128.6150885,35.8473452
129,128.6154609,35.83212667,25,1110,128.6154609,35.83212667
130,128.6370066,35.82491392,70,1540,128.6370066,35.82491392
131,128.695185,35.84347596,0,0,128.695185,35.84347596
132,128.7065707,35.84393916,25,765,128.7065707,35.84393916
133,128.7094206,35.83284488,0,0,128.7094206,35.83284488
134,128.6220458,35.85552855,0,0,128.6220458,35.85552855
135,128.6280129,35.82312125,0,0,128.6280129,35.82312125
136,128.6459743,35.81775147,0,0,128.6459743,35.81775147
137,128.695185,35.84347596,0,0,128.695185,35.84347596
138,128.5322939,35.82952502,247,4667,128.5322939,35.82952502
139,128.5404334,35.81910359,168,3778,128.5404334,35.81910359
140,128.5615941,35.84454462,302,3897,128.5615941,35.84454462
141,128.5285975,35.85183165,193,3974,128.5285975,35.85183165
142,128.4955466,35.83242591,100,2431,128.4955466,35.83242591
143,128.5274057,35.84945335,42,816,128.5274057,35.84945335
144,128.4887377,35.83466285,173,3431,128.4887377,35.83466285
145,128.5489498,35.79890606,144,2722,128.5489498,35.79890606
146,128.4959611,35.823318,153,1641,128.4959611,35.823318
147,128.5229904,35.85843009,156,3930,128.5229904,35.85843009
148,128.5078593,35.85330182,252,4674,128.5078593,35.85330182
149,128.5466934,35.84502695,0,0,128.5466934,35.84502695
150,128.5431652,35.84101301,0,0,128.5431652,35.84101301
151,128.5474142,35.83690545,103,2429,128.5474142,35.83690545
152,128.5455818,35.83278771,0,0,128.5455818,35.83278771
153,128.5176797,35.806398,0,0,128.5176797,35.806398
154,128.5227378,35.8120305,182,3699,128.5227378,35.8120305
155,128.5262531,35.81478641,0,0,128.5262531,35.81478641
156,128.5548763,35.82190898,40,734,128.5548763,35.82190898
157,128.5296275,35.84329402,0,0,128.5296275,35.84329402
158,128.5489513,35.81278399,0,0,128.5489513,35.81278399
159,128.5404334,35.81910359,0,0,128.5404334,35.81910359
160,128.4882946,35.83285776,0,0,128.4882946,35.83285776
161,128.4795968,35.83775952,0,0,128.4795968,35.83775952
162,128.5312239,35.8566625,26,626,128.5312239,35.8566625
163,128.5421792,35.85102665,17,463,128.5421792,35.85102665
164,128.5721971,35.85568742,9,190,128.5721971,35.85568742
165,128.5531474,35.84061372,23,508,128.5531474,35.84061372
166,128.5282742,35.83094908,44,1343,128.5282742,35.83094908
167,128.541042,35.83444093,30,1116,128.541042,35.83444093
168,128.5228367,35.819515,77,1464,128.5228367,35.819515
169,128.5362624,35.81255812,39,785,128.5362624,35.81255812
170,128.5450096,35.81426535,26,352,128.5450096,35.81426535
171,128.5547573,35.82923413,28,650,128.5547573,35.82923413
172,128.5321898,35.8074824,35,761,128.5321898,35.8074824
173,128.4942567,35.87222087,16,507,128.4942567,35.87222087
174,128.6230237,35.80243192,67,777,128.6230237,35.80243192
175,128.5007188,35.80423352,40,977,128.5007188,35.80423352
176,128.4204628,35.77418923,10,105,128.4204628,35.77418923
177,128.4634038,35.7893939,9,386,128.4634038,35.7893939
178,128.4475718,35.69724955,20,480,128.4475718,35.69724955
179,128.4988313,35.85896696,0,0,128.4988313,35.85896696
180,128.5554702,35.85369882,0,0,128.5554702,35.85369882
181,128.5502024,35.810066,0,0,128.5502024,35.810066
182,128.5139384,35.81725189,0,0,128.5139384,35.81725189
183,128.4527824,35.73003901,165,2626,128.4527824,35.73003901
184,128.4313894,35.77466292,134,3423,128.4313894,35.77466292
185,128.4659878,35.68837343,78,1991,128.4659878,35.68837343
186,128.4539695,35.8618255,253,4958,128.4539695,35.8618255
187,128.4468507,35.7826012,137,2398,128.4468507,35.7826012
188,128.4384773,35.86387965,87,1444,128.4384773,35.86387965
189,128.5039327,35.69364206,12,392,128.5039327,35.69364206
190,128.4194236,35.64094271,62,1474,128.4194236,35.64094271
191,128.4455528,35.90126042,0,0,128.4455528,35.90126042
192,128.4776988,35.89031671,122,2586,128.4776988,35.89031671
193,128.4634038,35.7893939,0,0,128.4634038,35.7893939
194,128.4048891,35.64517207,0,0,128.4048891,35.64517207
195,128.4596465,35.69433414,0,0,128.4596465,35.69433414
196,128.4609552,35.8654753,136,3470,128.4609552,35.8654753
197,128.501426,35.81083359,0,0,128.501426,35.81083359
